Comparisons    Time
838            3.00
539            2.00
992            2.00
314            0.00
446            1.00
769            1.00
875            3.00
266            1.00
240            1.00
143            1.00
592            1.00
482            1.00
367            2.00
920            4.00
777            3.00
609            2.00
282            1.00
516            2.00
1017            4.00
718            2.00
493            2.00
202            1.00
899            2.00
449            2.00
767            2.00
677            2.00
669            1.00
936            3.00
640            2.00
791            3.00
145            1.00
223            0.00
871            2.00
534            2.00
680            2.00
298            1.00
612            3.00
493            1.00
912            3.00
259            1.00
151            1.00
354            1.00
516            2.00
153            1.00
567            2.00
191            0.00
202            1.00
598            1.00
192            0.00
142            0.00
937            3.00
241            1.00
266            1.00
223            0.00
995            2.00
535            2.00
421            1.00
180            0.00
918            3.00
549            1.00
474            1.00
800            2.00
252            1.00
617            1.00
210            1.00
536            1.00
508            1.00
714            3.00
896            2.00
583            1.00
376            1.00
885            2.00
514            1.00
173            1.00
730            2.00
626            1.00
472            1.00
549            1.00
498            2.00
368            1.00
593            1.00
435            2.00
682            2.00
993            2.00
368            2.00
773            2.00
371            2.00
244            0.00
235            1.00
283            1.00
209            1.00
965            1.00
953            3.00
171            1.00
760            2.00
897            3.00
639            2.00
296            1.00
339            1.00
499            1.00
987            1.00
547            2.00
740            2.00
182            1.00
399            2.00
971            2.00
290            0.00
523            2.00
413            1.00
933            2.00
948            3.00
136            0.00
228            1.00
581            2.00
400            1.00
1038            2.00
130            0.00
565            1.00
544            2.00
560            1.00
581            2.00
769            3.00
334            1.00
810            2.00
521            1.00
353            1.00
909            1.00
334            2.00
253            0.00
439            1.00
588            2.00
677            2.00
277            1.00
518            2.00
384            1.00
796            1.00
984            4.00
671            1.00
205            0.00
791            2.00
253            1.00
951            2.00
657            1.00
283            1.00
458            1.00
521            1.00
699            1.00
643            2.00
538            1.00
913            1.00
475            1.00
628            1.00
763            2.00
550            2.00
365            1.00
936            2.00
880            3.00
720            2.00
507            1.00
417            1.00
495            1.00
140            0.00
156            0.00
442            1.00
1030            2.00
189            1.00
316            1.00
272            1.00
326            0.00
721            2.00
574            1.00
277            0.00
685            2.00
902            2.00
748            1.00
795            1.00
748            1.00
363            0.00
129            1.00
304            0.00
642            1.00
651            1.00
563            1.00
199            1.00
738            1.00
230            0.00
768            1.00
1025            2.00
301            1.00
663            1.00
819            2.00
952            1.00
566            2.00
833            1.00
370            2.00
302            1.00
973            4.00
473            1.00
968            1.00
218            1.00
251            1.00
956            1.00
669            2.00
1015            2.00
992            2.00
892            3.00
145            0.00
539            1.00
479            2.00
1044            2.00
721            1.00
222            1.00
701            1.00
995            2.00
341            1.00
505            2.00
426            1.00
881            3.00
243            1.00
779            2.00
234            1.00
661            1.00
618            1.00
900            2.00
569            1.00
715            1.00
